
2  51.62361100  008.63944400    673   354  25    0.0 PAD  PADERBORN/LIPPSTADT NDB-DME
3  51.50569700  009.11091400    843 11370  80    0.0 WRB  WARBURG VOR-DME
4  51.41959900  009.41443400    850 10810  12      95.000 IKSE EDVK 09  ILS-cat-III
4  51.42199900  009.36990300    790 10930  10     275.000 IKSW EDVK 27  ILS-cat-III
4  51.62120000  008.63377500    674 11115  18      56.798 IPLE EDLP 06  ILS-cat-I
4  51.60723600  008.59951700    699 10855  18     236.798 IPLW EDLP 24  ILS-cat-I
6  51.42255700  009.37966400    850 10810  10  300095.000 IKSE EDVK 09 GS
6  51.61136700  008.60610800    688 11115  10  300057.290 IPLE EDLP 06  GS
6  51.61891900  008.62421900    672 10855  10  300237.290 IPLW EDLP 24  GS
6  51.42118100  009.40517200    790 10930  08  300275.000 IKSW EDVK 27 GS
7  51.57383600  008.51137500    699     0   0      57.290 ---- EDLP 06  OM
7  51.65117500  008.70642500    699     0   0     237.290 ---- EDLP 24  OM
7  51.42660000  009.28392900    699     0   0      95.000 ---- EDVK 09  OM
7  51.41489400  009.50019900    699     0   0     275.000 ---- EDVK 27  OM
8  51.60400300  008.59192200    699     0   0      57.290 ---- EDLP 06  MM
8  51.62361100  008.63944400    673     0   0     237.290 ---- EDLP 24  MM
8  51.42247000  009.36182900    699     0   0      95.000 ---- EDVK 09  MM
8  51.41914300  009.42341800    673     0   0     275.000 ---- EDVK 27  MM
12  51.61136700  008.60610800     49 11115  18      0.600 IPLE EDLP 06  DME-ILS
12  51.61891900  008.62421900     49 10855  18      0.600 IPLE EDLP 24  DME-ILS
12  51.50569700  009.11091400    843 11370  80    0.0 WRB  WARBURG VOR-DME
13  51.42116700  009.40516700    810 11150  80    0.0 DKS  KASSEL DME
13  51.62361100  008.63944400    673 10850  25    0.0 PAD  PADERBORN/LIPPSTADT NDB-DME
99
